Source;Target;关系;权重
陈献章;黄景星;思想源泉(白沙心学);1
黄鸣盛;黄景星;家学(传古冈遗谱);3
黄观炯;黄景星;师承(启蒙指法);3
何洛书;黄景星;师承(授大操);3
何文祥;黄景星;师承(授碧天秋思);2
盛复初;黄景星;师承(授金门待漏);2
张文焯;黄景星;师承(授水仙操);2
莫锡龄;黄景星;长辈鼓励;1
陈世堂;黄景星;师承(授雁落平沙);2
黄景星;黄文玉;师承(叔侄授琴);3
黄景星;黄炳堃;师承(叔祖授琴);3
黄景星;陈灼奎;授琴/琴社核心;2
黄景星;陈绮石;联作琴社;2
黄景星;潘名熊;琴社交游;2
黄景星;冯筠;授琴/琴社交游;2
黄景星;释以直;琴社交游/泛舟;1
黄景星;莫韵石;订谱(岳阳三醉);2
黄景星;莫延芳;订谱(同门畏友);2
黄景星;杨锡泉;授琴/琴谱作序;2
黄景星;黄淇;家学(子校字);1
黄景星;黄崇干;家学(侄同订谱);2
赵古农;黄景星;琴谱作序;1
胡准;黄景星;琴谱参订;1
何耀琨;黄景星;琴谱作序;1
黄文玉;曾望颜;琴脔参订;1
黄文玉;黄玉衔;挚友/琴脔作序;2
黄文玉;陈其锟;题咏(广州故交);1
苏敬衡;黄文玉;长官赏识/题序;1
金树本;黄文玉;同僚题咏;1
吴家树;黄文玉;同僚题咏;1
黄文玉;梁树基;授琴(折服拜师);2
黄文玉;卢桐君;授业弟子;1
黄文玉;何子桂;授业弟子;1
黄文玉;黄炳堃;家学(父子);3
黄炳堃;杨恩锡;传琴/影响滇省;3
黄炳堃;阮寅;琴诗之友(双目失明);1
王宾;黄炳堃;为黄炳堃鼓琴;1
黄炳堃;冯有光;听琴赠答;1
陈燕;杨恩锡;传谱(金陵派);2
陈小屏;杨恩锡;滇省琴交;1
李梦庚;杨恩锡;传谱(粤东鹤山);2
李澄宇;庆瑞;师承(广陵派);3
庆瑞;李芝仙;授琴瑟/合奏;3
庆瑞;周振麟;授琴/合奏;2
庆瑞;张淑娟;授琴瑟(谊女);1
庆瑞;郑绩;梦香园主客/合奏;2
郑绩;陈澧;梦香园雅集;1
郑绩;李梦庚;梦香园雅集;1
郑绩;胡准;梦香园雅集;1
郑绩;黄绍昌;梦香园雅集;1
庆瑞;容心言;家族血脉(祖孙);3
何煜恒;朱启连;启蒙引荐;1
张志清;朱启连;师承(授琴);3
陶邵学;朱启连;师承(授琴律);3
朱启连;宋彦成;授琴/切磋;2
朱启连;陈叔举;授琴/切磋;2
朱启连;章珠垣;晚清琴圈/修琴;1
朱启连;高大林;晚清琴圈/修琴;1
朱启连;叶秩甫;晚清琴圈切磋;1
朱启连;杨兆桂;深厚琴交/论绿绮台;2
容心言;招鉴芬;借抄古冈遗谱;2
容心言;卢家炳;授琴(容授卢);2
郑健候;杨新伦;授琴(郑授杨);3
卢家炳;杨新伦;授琴(卢授杨);2
陈叔举;容心言;民国交游桥梁;1
陈叔举;杨新伦;民国交游桥梁;1
